Gender,Age stand,Study stand,Learning mode,Social stand,Attendance stand,Cohabitants,Previous SGPA stand,Current CPGA stand,Family income stand
Female,20,3.1540296924708375,Offline,1.0,99.0,Family,3.19,3.37,40000
Female,21,4.0,Online,2.0,95.0,Bachelor,0.13125,0.13125,30000
Female,22,4.0,Offline,2.0,98.0,Bachelor,3.05,3.05,20
Female,21,3.1540296924708375,Offline,1.0,99.0,Family,4.5,4.0,80000
Female,20,4.0,Offline,3.0,98.0,Family,3.75,0.0,60
Male,22,3.0,Offline,2.0,90.0,Bachelor,3.33,3.33,20000
Male,20,4.0,Online,1.0,80.0,Bachelor,2.81,2.81,40000
Male,21,3.0,Offline,4.0,90.0,Bachelor,2.18,2.08,35000
Male,21,4.0,Offline,1.0,100.0,Family,2.760508706467662,3.201095977596741,30000
Male,23,0.0,Offline,3.0,70.0,Family,3.7,3.75,20000
Female,24,2.0,Online,1.0,90.0,Bachelor,3.62,3.0,207239
Male,20,2.0,Offline,3.4722805176635183,100.0,Family,3.18,3.18,35000
Female,21,3.0,Online,8.0,98.0,Family,3.55,3.59,1000
Male,23,4.0,Offline,2.0,100.0,Bachelor,3.58,3.75,15000
Male,22,2.0,Offline,8.0,90.0,Bachelor,3.88,3.88,10000
Male,20,2.0,Offline,10.0,90.0,Bachelor,3.0,3.0,30
Male,20,4.0,Offline,1.5,95.0,Bachelor,4.0,4.0,40000
Male,22,2.0,Online,1.0,80.0,Family,3.97,3.97,30000
Male,22,3.0,Online,1.0,75.0,Bachelor,3.79,3.69,100000
Male,22,6.0,Offline,2.0,90.0,Bachelor,2.96,2.89,50000
Male,21,5.0,Offline,2.0,88.33627450980393,Bachelor,3.77,3.86,30000
Male,25,1.5,Offline,1.0,90.0,Family,3.44,3.48,50000
Male,19,4.0,Offline,3.0,100.0,Bachelor,2.760508706467662,3.201095977596741,40000
Female,21,2.0,Online,2.0,85.0,Family,3.56,3.66,25000
Male,19,3.0,Offline,1.0,100.0,Family,3.56,3.56,40000
Female,22,5.0,Offline,2.0,88.33627450980393,Family,2.760508706467662,3.201095977596741,35000
Female,20,3.1540296924708375,Online,3.4722805176635183,97.0,Family,2.760508706467662,3.201095977596741,35000
Male,20,1.0,Online,5.0,80.0,Family,3.25,3.2,40000
Male,19,4.0,Offline,5.0,85.0,Bachelor,0.0,0.0,50000
Male,22,2.0,Offline,3.4722805176635183,80.0,Family,3.7,3.4,50000
Female,20,1.0,Offline,3.4722805176635183,100.0,Family,3.38,3.58,80000
Male,21,1.0,Online,2.0,80.0,Bachelor,3.78,3.9,40000
Female,24,5.0,Offline,3.4722805176635183,95.0,Bachelor,3.4,3.5,20000
Male,24,2.0,Offline,3.0,80.0,Family,2.58,2.93,65000
Male,21,1.0,Online,3.4722805176635183,100.0,Bachelor,3.96,3.7,25000
Female,21,3.1540296924708375,Offline,2.0,88.0,Family,3.58,3.76,40000
Male,20,2.0,Online,4.0,99.0,Bachelor,3.79,3.91,50000
Male,21,1.0,Offline,1.0,100.0,Bachelor,2.17,3.06,15000
Male,22,3.0,Offline,2.0,88.33627450980393,Bachelor,1.12,1.88,60000
Female,21,4.0,Online,1.0,99.0,Family,3.72,3.67,35000
Male,20,5.0,Offline,1.0,88.33627450980393,Family,4.55,0.0,35000
Female,22,4.0,Offline,2.0,98.0,Family,2.83,2.82,25000
Female,20,2.0,Offline,2.0,95.0,Family,3.88,3.88,35000
Female,21,3.0,Offline,3.0,97.0,Family,3.0,3.66,150000
